Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
121;"Recklinghausen I";5;172167;174767;;;122115;124037;;;1813;1847;1429;1379;120302;122190;120686;122658;41316;37504;40830;34732;54363;52627;47957;43571;2425;9090;4097;13462;7413;12781;8246;14202;6155;7846;7679;9984;;;;;2949;;2644;2162;1770;2078;1530;1470;;;;852;;;260;410;;;152;82;;;;599;;;84;202;;;;463;;;;;;;;;;;20;30;;;;;;;87;80;;;218;102;;;59;17;3911;;5386;;;;162;;;;401;;;;41;;;;;;;;185;;;;158;;;;85;;;;405;;;;;;;;;;;;;;;;;;;264;;238;
122;"Recklinghausen II";5;191504;194999;;;137420;140361;;;2217;1810;1691;1428;135203;138551;135729;138933;49407;44021;47090;40418;61741;58984;54381;51110;2120;10678;4814;15219;7525;13805;8500;14614;6731;8603;7857;10299;;;;;3822;;3139;2285;2573;2269;1730;1554;;;;1010;;;252;483;;;131;83;;;;694;;;65;211;;;;467;;;;;;;;;;;29;28;;;;;281;191;140;96;;;327;134;;;61;29;;;5493;;;;168;;;;439;;;;66;;;;;;;;266;;;;185;;;;128;;;;468;;;;;;;;;;;;;;;;;;1003;;;199;
123;"Gelsenkirchen";5;181476;187486;;;118452;121673;;;1608;2652;1504;1472;116844;119021;116948;120201;33460;31011;32380;27930;58967;64623;51514;50435;1933;8344;3468;10846;7112;;8880;14497;4270;9013;6413;8327;;;;;2670;;2569;2148;2833;4199;2562;2018;;;;818;;;463;1094;;;82;52;;;;573;;;84;158;;;;510;;;;;;;;;;;17;33;;;;;493;1831;398;454;;;202;112;;;22;21;4405;;5524;;;;484;;;;702;;;;48;;;;;;701;;448;;;;120;;;;112;;;;456;;;;;;;;;;;;;;;;;;;;;175;
124;"Steinfurt I - Borken I";5;201091;200304;;;147467;143677;;;1607;1979;1260;1411;145860;141698;146207;142266;75852;63123;72803;59231;46459;42736;41074;34893;4075;17533;7470;22277;5490;8306;6420;9197;7458;8774;8900;10999;;;;;3245;;2778;2249;;1226;943;993;;;;568;;;123;201;;;153;113;;;;647;;;54;227;;;;358;;;;;;;;;;;16;20;;;;;;;20;16;;;154;67;;;24;20;3281;;4128;;;;39;;;;147;;;;31;;;;;;;;279;;;;130;;;;93;;;;428;;;;;;;;;;;;;;;;;;;;;190;
125;"Bottrop - Recklinghausen III";5;206061;208655;;;148185;148523;;;2016;1804;1700;1596;146169;146719;146485;146927;53354;48290;51019;42153;66912;62810;58800;54532;2373;9710;5095;16171;7830;13765;9153;15624;5274;8372;7998;10267;;;;;3613;;3029;2261;;2391;2208;1738;;;;1052;;;327;643;980;1138;465;447;;;;804;;;78;182;;;;578;;;;;;;;;;;36;34;;;;;338;243;142;128;;;280;102;;;53;23;5495;;6034;;;;241;;;;549;;;;54;;;;;;;;176;;;;142;;;;111;;;;495;;;;;;;;;;;;;;;;;;;;;188;
126;"Borken II";5;198647;196659;;;151414;147728;;;1431;1494;1151;1231;149983;146234;150263;146497;86027;79254;80350;67056;40643;37324;38389;32344;3388;12521;7913;24230;4513;6385;5447;7222;9547;9706;9139;10793;;;;;3016;;2468;1823;;1044;948;805;;;;599;;;103;188;;;167;94;;;;625;;;61;100;;;;344;;;;;;;;;;;17;12;;;;;;;17;17;;;182;73;;;22;13;2849;;4042;;;;22;;;;170;;;;12;;;;;;;;248;;;;117;;;;78;;;;351;;;;;;;;;;;;;;;;;;;;;159;
127;"Coesfeld - Steinfurt II";5;190611;189353;;;149678;146369;;;1298;1372;1193;1100;148380;144997;148485;145269;83177;73636;74391;61901;39724;37851;38075;31790;3823;14229;8328;24041;4929;7634;6167;8504;10346;10674;12083;13607;;;;;2884;;2605;2008;;973;812;752;;;;705;;;110;213;;;188;163;461;;;703;;;64;169;;;;424;;;;;;;;;;;14;16;;;;;;;22;13;;;171;80;;;29;20;3036;;4216;;;;18;;;;243;;;;13;;;;;;;;267;;;;104;;;;96;;;;469;;;;;;;;;;;;;;;;;;;;;160;
128;"Steinfurt III";5;193909;192966;;;146050;143782;;;1338;1842;1296;1371;144712;141940;144754;142411;69385;61444;62729;51067;52784;58679;48324;43523;2603;11613;6822;20001;5533;9075;6765;9250;8464;;10981;13366;;;;;2356;;2504;2047;1021;1129;940;929;;;;555;;;96;204;;;122;85;;;;686;;;50;169;;;;286;;;;;;;;;;;16;24;;;;;;;25;14;;;157;56;;;46;15;2566;;4006;;;;74;;;;115;;;;16;;;;;;;;279;;;;133;;;;89;;;;465;;;;;;;;;;;;;;;;;;;;;134;
129;"Münster";5;227762;210934;;;180093;163921;;;1527;1362;1292;1190;178566;162559;178801;162731;69352;63819;67626;54902;63296;53029;48579;38604;10222;16131;12119;23951;7620;7805;11254;10970;19767;20822;27118;27985;;;;;3582;;4036;3489;;718;490;574;;;;567;;;54;175;752;;595;417;;;;416;;;52;107;;;;294;;;;;;;;;;;21;17;;;;;;;51;39;;;123;89;;;30;19;3651;;5233;;;;59;;;;139;;;;23;;;;;;;;195;;;;218;;;;113;;;;673;;;;;;;;;;;;;;;;;;324;235;;116;
130;"Warendorf";5;210355;211287;;;158096;156217;;;1695;2696;1560;1809;156401;153521;156536;154408;80272;75187;73765;62706;50056;49996;45610;37608;3533;16333;8488;23668;5488;12005;6858;9824;9300;;11305;14609;;;;;3163;;3123;2308;1134;;1090;977;;;;688;;;122;302;;;175;119;;;;685;;;55;132;;;;443;;;;;;;;;;;25;14;;;;;;;23;8;;;224;112;;;29;16;3455;;4571;;;;57;;;;142;;;;4;;;;;;;;378;;;;93;;;;72;;;;327;;;;;;;;;;;;;;;;;;;;;189;
131;"Gütersloh I";5;233633;232944;;;169025;168245;;;2121;2536;1874;1925;166904;165709;167151;166320;83869;74149;77361;64808;56032;53509;47962;42512;3146;15138;8236;24698;7133;9909;8333;10855;9069;11924;13148;16035;;;;;3134;;3070;2639;;;1260;1202;;;;855;;;139;361;;625;354;379;;;;824;350;;164;177;;;;546;;;;;;;;;;;21;24;;;;;;;20;25;;;222;152;;;38;24;4171;;5286;;;;111;;;;228;;;;17;;;;;;;;454;;;;171;;;;112;;;;444;;;;;;;;;;;;;;;;;;;455;;204;
132;"Bielefeld - Gütersloh II";5;247176;247085;;;179717;180441;;;2569;2348;2169;2091;177148;178093;177548;178350;66020;64621;62701;54277;67464;61405;57929;53583;3522;10852;7013;19883;12156;14056;14868;17126;19024;24981;20753;25057;;;;;4564;;4181;3497;;1784;1223;1453;;;;956;;;131;311;;;279;179;;;;755;;;62;190;;;;551;;;;;;;;;;394;39;100;;;;;;;97;68;;;315;132;;;51;45;4398;;6087;;;;191;;;;336;;;;34;;;;;;;;227;;;;188;;;;95;;;;748;;;;;;;;;;;;;;;;;;;;;187;
133;"Herford - Minden-Lübbecke II";5;230974;233781;;;163837;165115;;;2496;2497;1878;2079;161341;162618;161959;163036;65872;61244;63757;53025;66635;62644;56555;53661;5651;15549;6798;22018;8717;12090;9410;12887;8209;11091;12297;14121;;;;;4698;;3349;2373;;;1267;1362;;;;942;;;213;603;;;186;137;;;;856;;;76;215;;;;421;;;;;;;;;;;31;26;;;;;;;36;31;;;282;189;;;32;23;;;5830;;;;67;;;;333;;;;25;;;;;;1118;;660;;;;170;;;;110;;;;475;;;;;;;;;;;;;;;;;;441;;;146;
134;"Minden-Lübbecke I";5;206505;209155;;;145637;147381;;;2114;1996;1615;1756;143523;145385;144022;145625;66384;61751;59133;51869;58183;57561;49534;47299;2738;9628;6640;18097;5943;8809;7114;10401;5922;7636;10527;11482;;;;;3757;;2893;2284;;;936;917;;;;713;;;239;771;;;151;113;;;;820;;;61;153;;;;397;;;;;;;;;;;16;22;;;;;;;30;21;;;254;98;;;55;29;;;5146;;;;39;;;;244;;;;29;;;;;;596;;357;;;;141;;;;90;;;;393;;;;;;;;;;;;;;;;;;;;;139;
135;"Lippe I";5;172330;174517;;;125721;127817;;;1810;1880;1527;1522;123911;125937;124194;126295;49783;46447;48776;40545;50934;50688;43583;43628;2873;11879;5698;16627;5186;8492;6369;9059;7070;8431;9123;10270;;;;;2814;;2498;2283;;;1020;1039;;;;728;;;138;358;;;133;119;;;;779;;;58;139;;;;397;;;;;;;;;;;18;36;;;;;;;27;23;;;237;95;;;36;10;3154;;4758;;;;60;;;;266;;;;29;;;;;;868;;788;;;;105;;;;95;;;;379;;;;;;;;;;;;;;;;;;1229;;;160;
136;"Höxter - Lippe II";5;213488;216917;;;156001;158321;;;2269;2673;2004;2368;153732;155648;153997;155953;76881;71813;70522;58814;48159;49149;45708;45184;2958;12086;7423;23125;6328;9100;7893;10266;8754;9957;10265;11708;;;;;2854;;2853;2474;1312;1502;1188;1151;;;;727;;;89;254;692;455;400;309;;1586;;1037;;;63;132;;;;374;;;;;;;;;;;22;21;;;;;;;22;21;;;220;125;;;43;31;4004;;5530;;;;93;;;;196;;;;19;;;;;;1086;;807;;;;114;;;;94;;;;433;;;;;;;;;;;;;;;;;;704;;;200;
137;"Paderborn - Gütersloh III";5;247138;243442;;;176150;172558;;;2099;2208;1993;2107;174051;170350;174157;170451;102868;88754;89394;73354;40430;43120;40628;34925;3296;15282;8775;28805;6972;9436;9065;10380;11251;12001;12455;14619;;;;;3802;;3682;3478;1440;1757;1381;1340;;;;810;;;142;377;;;292;184;;;;1111;;;77;145;;;;467;;;;;;;;;;;30;26;;;;;;;17;24;;;257;149;;;36;28;3526;;6285;;;;119;;;;247;;;;24;;;;;;;;500;;;;188;;;;125;;;;438;;;;;;;;;;;;;;;;;;466;;;229;
138;"Hagen - Ennepe-Ruhr-Kreis I";5;212903;217768;;;147176;150712;;;2614;1885;1749;1650;144562;148827;145427;149062;49323;49893;51292;45225;68032;63980;53468;49061;4974;11251;6586;18246;8181;12188;9816;14448;6521;8836;9788;13557;;;;;3932;;3255;2407;2818;2679;1605;1774;;;;1231;;;305;937;;;160;79;;;;673;514;;189;278;;;;706;;;;;;;;;;;21;36;;;;;267;;94;87;;;306;137;;;33;12;;;6363;;;;141;;;;742;;;;31;;;;;;;;370;;;;182;;;;114;;;;566;;;;;;;;;;;;;;;;;;;;;168;
139;"Ennepe-Ruhr-Kreis II";5;181239;183435;;;134749;135860;;;1901;1727;1609;1430;132848;134133;133140;134430;47530;40763;44032;35927;56197;54845;50976;46848;2666;13392;5966;16778;6740;11180;8482;12596;10965;11621;12068;15248;;;;;3001;;2951;2180;1522;1762;1247;1382;;;;1103;;;152;307;;;189;116;;;;673;;;65;194;;;;559;;;;;;;;;;;19;29;;;;;234;285;154;153;;;221;126;;;36;42;3993;;5161;;;;143;;;;323;;;;44;;;;;;;;197;;;;153;;;;75;;;;486;;;;;;;;;;;;;;;;;;;285;;169;
140;"Bochum I";5;210904;214358;;;153586;153800;;;2964;1853;1909;1579;150622;151947;151677;152221;53770;47030;46403;37763;66562;65810;58547;55224;2078;8578;5863;16390;10270;14741;11943;16442;10310;12775;14611;18094;;;;;4574;;3861;2943;2771;2268;1888;1796;;;;1171;;;170;360;;;238;119;;;;608;;;68;214;;;;538;;;;;;;;;;486;36;100;;;;;287;259;144;126;;;247;126;;;35;49;;;5792;;;;196;;;;369;;;;48;;;;;;;;287;;;;193;;;;70;;;;668;;;;;;;;;;;;;;;;;;;;;158;
141;"Herne - Bochum II";5;184009;188777;;;127495;128511;;;2449;3036;2307;1948;125046;125475;125188;126563;38128;33693;35345;28681;60773;64331;54802;50922;1913;8545;3552;11591;9470;;10061;16261;7260;12393;8303;11074;;;;;3776;;3072;2074;3334;2570;2221;1563;;;;944;;2768;442;1418;;;156;81;;;;604;;;86;236;;;;568;;;;;;;;;;;23;20;;;;;392;1175;188;175;;;264;93;;;39;34;;;4962;;;;223;;;;465;;;;52;;;;;;;;220;;;;150;;;;90;;;;472;;;;;;;;;;;;;;;;;;;;;224;
142;"Dortmund I";5;213946;214213;;;149027;149331;;;1554;1556;1543;1258;147473;147775;147484;148073;45311;40623;42713;36237;67020;60839;56180;48882;2882;12890;6107;17813;8836;14273;11651;16272;11043;16141;15827;20133;;;;;3775;;4079;3311;2139;2281;1894;1469;;;;960;;;157;231;;;172;105;;;;521;203;;136;201;;;;638;;;;;;;;;;440;27;103;;;;;254;288;154;146;;;304;128;;;32;22;5188;;6060;;;;158;;;;243;;;;125;;;;;;634;;437;;;;161;;;;137;;;;730;;;;;;;;;;;;;;;;;;188;;;901;
143;"Dortmund II";5;206701;208840;;;137508;141167;;;1855;1605;1506;1412;135653;139562;136002;139755;43688;40622;39604;34006;63388;59141;55682;49813;2014;9387;5139;15993;9340;14819;10568;16104;9228;12292;11328;15553;;;;;4036;;3322;2383;2741;2379;1894;1654;;;;1000;;;160;263;;;125;70;;;;677;;;79;275;;;;931;;;;;;;;;;;21;42;;;;;;;71;101;;;299;149;;;33;25;;;5572;;;;241;;;;311;;;;53;;;;;;1218;;606;;;;129;;;;122;;;;643;;;;;;;;;;;;;;;;;;;922;;716;
144;"Unna I";5;200067;202933;;;148120;148909;;;1844;1757;1507;1552;146276;147152;146613;147357;52433;47702;46792;38646;68287;62638;60019;55439;2514;9418;5850;17773;7749;12451;9127;13842;8242;12737;11567;13756;;;;;3535;;3189;2439;2174;2206;1505;1665;;;;1045;;;139;307;;;123;88;;;;727;;;83;183;;;;958;;;;;;;;;;;40;24;;;;;;;56;44;;;310;144;;;31;18;;;5525;;;;172;;;;362;;;;29;;;;;;1342;;884;;;;138;;;;116;;;;556;;;;;;;;;;;;;;;;;;;;;259;
145;"Hamm - Unna II";5;238091;239907;;;167323;167422;;;2416;2324;1942;1932;164907;165098;165381;165490;64869;54088;60976;52623;71171;72446;63637;55249;3439;14952;6147;19998;9277;11638;10410;15917;8251;8993;10011;12798;;;;;3930;;3460;2889;2912;2981;2061;2113;;;;1049;;;278;536;;;122;88;;;;810;;;79;241;;;;675;;;;;;;;;;;20;26;;;;;;;66;60;;;293;120;;;33;26;;;5530;;;;236;;;;456;;;;88;;;;;;1058;;681;;;;132;;;;116;;;;549;;;;;;;;;;;;;;;;;;;;;272;
146;"Soest";5;232311;232781;;;167938;165293;;;2441;2204;1773;1921;165497;163089;166165;163372;82414;74725;74397;59805;55127;47583;50437;41522;3870;15625;8217;27675;8267;11432;8721;12460;9870;11924;11568;14081;;;;;3995;;3409;2612;1954;1800;1323;1324;;;;922;;;178;388;;;204;106;;;;1037;;;84;315;;;;652;;;;;;;;;;;32;48;;;;;;;25;13;;;335;149;;;52;22;;;5691;;;;112;;;;333;;;;56;;;;;;;;228;;;;194;;;;104;;;;465;;;;;;;;;;;;;;;;;;;;;241;
147;"Hochsauerlandkreis";5;205948;209440;;;151719;152242;;;2117;1927;1674;1702;149602;150315;150045;150540;83951;77687;74529;63133;44683;40010;42054;36741;2873;13753;7626;24530;6159;9362;7055;10064;6313;7966;7161;9460;;;;;3278;;2939;2008;1708;1537;1269;1223;;;;809;;;160;306;;;173;112;;;;910;;;85;206;;;;601;;;;;;;;;;;20;23;;;;;;;22;25;;;319;146;;;39;26;;;5140;;;;43;;;;278;;;;22;;;;;;637;;533;;;;131;;;;88;;;;359;;;;;;;;;;;;;;;;;;;;;217;
148;"Siegen-Wittgenstein";5;215751;218411;;;156603;156878;;;1846;2271;1707;1682;154757;154607;154896;155196;70832;64217;64307;53999;56510;60500;49543;44822;3384;15482;7340;23059;6891;12009;8920;12362;7808;;9924;13385;;;;;2732;;2722;2044;1856;2399;1761;1910;;;;920;;;289;660;;;286;218;;;;755;;;55;200;;;;485;;;;;;;;;;;22;26;;;;;;;41;22;;;312;152;;;35;22;4744;;7651;;;;410;;;;305;;;;33;;;;;;;;243;;;;146;;;;102;;;;449;;;;;;;;;;;;;;;;;;;;;155;
149;"Olpe - Märkischer Kreis I";5;210836;214196;;;150489;151127;;;1649;1941;1574;1733;148840;149186;148915;149394;76912;70705;71439;59358;48712;42273;42004;36470;3586;15568;7694;25021;5635;10100;7113;10797;5133;8476;7727;10379;;;;;2694;;2708;1901;1692;2064;1575;1564;;;;978;;;189;503;;;192;108;;;;879;;;85;281;;;;673;;;;;;;;;;;26;20;;;;;;;22;40;;;310;151;;;57;37;3926;;6134;;;;117;;;;278;;;;17;;;;;;550;;506;;;;133;;;;106;;;;483;;;;;;;;;;;;;;;;;;;;;234;
150;"Märkischer Kreis II";5;206189;210993;;;145230;146986;;;1727;1788;1669;1661;143503;145198;143561;145325;59768;52751;59537;51494;59822;59521;46319;41755;2792;11740;6431;20616;6926;10431;8463;12450;4498;6207;7971;10589;;;;;3115;;3285;2181;1874;2331;1620;1902;;2217;;1310;;;300;555;;;143;105;;;;810;;;120;335;;;;786;;;;;;;;;;;18;25;;;;;;;47;48;;;363;169;;;31;23;4708;;7107;;;;147;;;;317;;;;30;;;;;;;;386;;;;194;;;;114;;;;618;;;;;;;;;;;;;;;;;;;;;172;
5;"Nordrhein-Westfalen";99;12915273;12942948;;;9376901;9269970;;;129131;123539;105189;101337;9247770;9146431;9271712;9168633;4079253;3641504;3712116;3056032;3371330;3188794;2935964;2594695;225263;819456;491150;1373973;466128;645289;564149;762196;594708;713524;746502;927131;;;;;213692;;204080;154777;86402;107565;88012;85201;;2217;;57875;2683;2768;13358;28902;2424;2676;12746;8708;461;5269;;43942;1558;;5002;12560;;;;32817;;;;;;;;;1380;2662;1924;2328;;446;;;4276;6361;4176;3939;1748;2550;17076;9167;;;2321;1477;167116;;359996;;;;10160;;;;21507;;;;2141;;;;;;18250;;24744;;;;11048;;;;6738;;5204;;36802;;;;;;;;;;;;;;;;;;5894;5350;;12913;

167;"Waldeck";6;189728;192360;;;138643;140808;;;4988;3801;4228;3513;133655;137007;134415;137295;55444;48414;49063;41109;55216;51737;48419;45343;3579;13180;6452;20210;7208;10400;7356;11657;8486;11209;10872;13498;;;;;3177;;2242;2175;;1756;1159;1393;;;;1121;;;237;504;;;;;;;;;;;;;;;;;;;;;;;;;;;47;122;;;;;;;33;48;;;;;;;71;;;;6774;;;;;;;;152;;;;;;;;;;;;1013;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;545;311;;115;
168;"Kassel";6;224834;222636;;;160682;161033;;;5209;4254;4193;3903;155473;156779;156489;157130;54680;47643;48385;40134;62185;59621;53280;49114;3195;12188;6252;19820;13067;15453;13680;17656;16551;19246;19861;23320;;;;;4625;;3575;3523;;1594;1215;1275;;;;1374;;;198;470;;;;;;;;;;;;;;;;;;;;;;;;;;;51;159;;;;;325;319;165;173;;;;;;;89;;;;7951;;;;;;;;155;;;;;;;;;;;;837;;;;;;;;;;;;795;;;;;;;;;;;;;;;;;;845;715;;112;
169;"Werra-Meißner - Hersfeld-Rotenburg";6;180205;184337;;;131471;135727;;;4724;3713;4221;3630;126747;132014;127250;132097;51366;45711;45871;39966;54605;53275;46914;45401;2537;12290;5013;17526;7218;11080;7583;12927;6303;7530;8869;10679;;;;;2339;;1952;1948;2379;2128;2013;1939;;;;1004;;;170;422;;;;;;;;;;;;;;;;;;;;;;;;;;;55;155;;;;;;;41;35;;;;;;;55;;;;7095;;;;;;;;137;;;;;;;;;;;;961;;;;;;;;;;;;521;;;;;;;;;;;;;;;;;;;;;95;
170;"Schwalm-Eder";6;191385;194732;;;141692;144490;;;4863;4391;4708;4275;136829;140099;136984;140215;54165;47053;48758;40592;57940;56519;50047;47585;3006;13487;6363;19854;6890;11395;7439;12958;7884;9370;10498;12935;;;;;2771;;2305;2382;2019;2275;1533;1813;;;;1256;;;228;556;;;;;;;;;;;;;;;;;;;;;;;;;;;46;119;;;;;;;47;37;;;;;;;58;;;;7379;;;;;;;;175;;;;;;;;;;2154;;1581;;;;;;;;;;;;527;;;;;;;;;;;;;;;;;;;;;128;
171;"Marburg";6;184686;185071;;;130936;135293;;;2934;2382;3035;2195;128002;132911;127901;133098;50683;47322;46991;41356;55984;51712;42748;38139;2229;10964;5111;17410;6745;10857;8720;13181;7594;10366;13443;16884;;;;;2581;;2206;2625;1459;1690;1035;1290;;;;1116;;;312;843;;;;;;;;;;;;;;;;;;;;;;;;;;;47;151;;;;;;;26;27;;;;;;;62;;;;5858;;;;;;;;109;;;;;;;;;;;;598;;;;;;;;;;727;;635;;;;;;;;;;;;;;;;;;;;;76;
172;"Lahn-Dill";6;210812;212611;;;146938;147952;;;4109;3104;3846;2730;142829;144848;143092;145222;68704;60214;59762;50391;49170;47897;43400;40485;3033;12968;6321;21137;6604;9815;7435;12133;8647;11032;10599;13382;;;;;3265;;2536;2972;2868;2922;2247;2236;;;;1431;;;288;741;;;;;;;;;;;;;;;;;;;;;;;;;;;63;147;;;;;;;51;40;;;;;;;63;;;;8298;;;;;;;;213;;;;;;;;;;;;1250;;;;;;;;;;;;566;;;;;;;;;;;;;;;;;;538;;;127;
173;"Gießen";6;215684;214882;;;156642;156108;;;4341;3598;3929;3357;152301;152510;152713;152751;67587;55987;59066;47442;54028;52287;45282;41649;4542;16804;7553;24009;7802;10623;9928;13713;11186;13484;14760;17988;;;;;3949;;3268;3795;2483;2137;1977;1706;;;;1434;;;273;644;;;;;;;;;;;;;;;;;;;;;;;;;;;93;182;;;;;;;59;43;;;;;;;85;;;;7446;;;;;;;;183;;;;;;;;;;;;1982;;;;;;;;;;;;758;;;;;;;;;;;;;;;;;;724;1188;;146;
174;"Fulda";6;209960;210695;;;154022;156363;;;4434;3465;3801;3141;149588;152898;150221;153222;87261;77514;76777;63835;37347;35602;33217;29960;3604;15268;7314;27119;6870;10267;6901;11590;8124;11257;10057;13158;;;;;3390;;2715;2607;2992;2972;2190;2306;;;;1337;;;414;910;;;;;;;;;;;;;;;;;;;;;;;;;;;64;191;;;;;;;46;54;;;;;;;73;;;;8683;;;;;;;;163;;;;;;;;;;;;1035;;;;;;;;;;;;572;;;;;;;;;;;;;;;;;;;18;;155;
175;"Main-Kinzig - Wetterau II - Schotten";6;180489;181422;;;131020;132713;;;4253;3530;4004;3444;126767;129183;127016;129269;61908;52895;52320;43652;41058;41711;35313;31980;2965;12321;6516;22105;6738;9127;6932;10916;6815;7982;9720;12272;;;;;3746;;2666;2627;3537;2954;2652;2553;;1690;;1635;;379;485;1203;;;;;;;;;;;;;;;;;;;;;;;;;;;72;164;;;;;;;27;25;;;;;;;74;;;;8096;;;;;;;;194;;;;;;;;;;;;1321;;;;;;;;;;;;628;;;;;;;;;;;;;;;;;;;124;;137;
176;"Hochtaunus";6;;182246;;;;141075;;;;2300;;2217;;138775;;138858;;62748;;49902;;35257;;29758;;16255;;27979;;7522;;9229;;12976;;15877;;;;;;;;2552;;1081;;1055;;2074;;1472;;862;;807;;;;;;;;;;;;;;;;;;;;;;;;;;;;127;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;
177;"Wetterau I";6;175085;173946;;;131497;131624;;;3736;2757;3357;2617;127761;128867;128140;129007;60115;53317;52416;43285;40803;42438;34934;31677;3527;11785;7586;23124;6174;7497;6615;9336;9494;9434;11989;14730;;;;;2863;;2532;2631;2363;2360;1859;2197;;1785;;1434;;;194;365;;;;;;;;;;;;;;;;;;;;;;;;;;;110;121;;;;;;;23;30;;;;;;;57;;;;7609;;;;;;;;170;;;;;;;;;;2422;;1440;;;;;;;;;;;;606;;;;;;;;;;;;;;;;;;;251;;77;
178;"Rheingau-Taunus - Limburg";6;220668;221226;;;165805;166456;;;3773;3400;3878;2837;162032;163056;161927;163619;84489;75224;73599;60875;47152;45127;40720;36352;3726;17463;10139;30530;6300;9066;7289;10853;9119;13141;13957;17210;;;;;2869;;2884;3199;1464;1432;1476;1490;;;;1665;;1603;302;1133;;;;;;;;;;;;;;;;;;;;;;;;;;;57;174;;;;;;;42;32;;;;;;;67;;6913;;9469;;;;;;;;195;;;;;;;;;;;;1120;;;;;;;;;;;;611;;;;;;;;;;;;;;;;;;;;;106;
179;"Wiesbaden";6;;187479;;;;133425;;;;2374;;2221;;131051;;131204;;53416;;40831;;42751;;30892;;12350;;23194;;9016;;11333;;10970;;18560;;;;;;;;2839;;1516;;1070;;;;1005;;;;1049;;;;;;;;;;;;;;;;;;;;;;;;;;588;;269;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;444;;125;
180;"Hanau";6;176449;175874;;;128259;128322;;;4172;2768;3768;2732;124087;125554;124491;125590;54917;48218;48826;39674;45184;43514;35649;30978;3043;10972;6611;21904;7068;8909;7632;11247;7217;8536;11181;13998;;;;;2985;;2549;2722;2625;1577;1897;1556;;2443;;1924;;1385;687;1282;;;;;;;;;;;;;;;;;;;;;;;;;;;73;158;;;;;;;28;38;;;;;;;65;;;;7357;;;;;;;;213;;;;;;;;;;;;847;;;;;;;;;;1048;;876;;;;;;;;;;;;;;;;;;;;;109;
181;"Main-Taunus";6;196610;195505;;;155142;155748;;;4077;2821;3223;2322;151065;152927;151919;153426;79352;72680;66597;56989;40927;36629;34155;29515;6504;18588;13107;33225;6356;7718;6406;8699;12420;15618;15052;18258;;;;;3729;;2773;3157;1777;1694;1003;1140;;;;1437;;;285;701;;;;;;;;;;;;;;;;;;;;;;;;;;;53;165;;;;;;;35;30;;;;;;;63;;;;10470;;;;;;;;159;;;;;;;;;;;;1212;;;;;;;;;;;;549;;;;;;;;;;;;;;;;;;;;;110;
182;"Frankfurt am Main I";6;195615;190058;;;133578;132429;;;3063;2217;2690;2091;130515;130212;130888;130338;52426;45866;43883;36031;43128;39147;35106;29107;4126;12876;9209;22761;10273;12031;11685;14551;12874;15701;17398;20645;;;;;3067;;3118;3355;1147;1327;949;1266;;1879;;1415;772;862;450;824;;;;;;;;;;;;;;;;;;;;;;;;;177;353;85;210;;;;;;170;56;92;;;;;;;62;;;;6983;;;;;;;;133;;;;;;;;;;1586;;903;;;;;;;;;;939;;868;;;;;;;;;;;;;;;;;;;;;81;
183;"Frankfurt am Main II";6;219357;212140;;;159827;156548;;;2925;2671;2906;2150;156902;153877;156921;154398;57015;55027;53181;43089;47761;45074;41249;33243;5444;14336;11022;27031;9545;11998;12785;15397;21224;23403;24194;28225;;;;;2854;;3428;3722;1003;1546;917;1183;;2077;;1503;;;231;651;;;;;;;;;;;;;;;;;;;;;;;;;101;416;87;190;;;;;;;54;62;;;;;;;67;;5152;;7655;;;;;;;;123;;;;;;;;;;987;;926;;;;;;;;;;1155;;1002;;;;;;;;;;;;;;;;;;4661;;;102;
184;"Groß-Gerau";6;174088;172278;;;127361;128119;;;4060;3099;3691;2765;123301;125020;123670;125354;52085;45410;45384;37526;46941;44973;37777;35058;2489;10177;5762;18630;7645;9449;7695;11103;9502;12072;13129;15677;;;;;4639;;2988;2772;;2457;1429;1680;;;;1463;;;509;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;52;178;;;;;;;76;60;;;;;;;61;;;;6932;;;;;;;;199;;;;;;;;;;;;1035;;;;;;;;;;;;642;;;;;;;;;;;;;;;;;;;482;;109;
