Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
2;"Hamburg";99;623461;614678;;;424463;426825;;;5678;6033;5361;5035;418785;420792;419102;421790;147362;139564;137458;120390;161221;153723;139273;118484;7625;32790;18843;54136;33790;41657;37148;48903;36546;44530;47323;59461;;;;;9474;;10605;10214;3334;4863;3264;4271;;;;;;;;;627;1899;952;1492;;;;;;;;;;;2062;3593;;;;;;;;;;651;;;;;;;157;158;266;201;;;;;;;;;14497;;17866;;;;;;;;;;;;;;;;;;1951;;1534;;;;;;;;;;1338;;2508;;;;;;;;;;;;;;;;;;863;957;;645;

24;"Aurich - Emden";3;190986;189804;;;133512;132885;;;2216;2439;1760;2121;131296;130446;131752;130764;42450;33706;42751;32155;66006;57876;57772;50682;2074;9314;4288;13619;6337;13213;6535;14978;12575;14451;10976;13641;;;;;;;1893;2015;;1886;1255;1712;;;1055;1042;;;111;;;;;123;;;;;;;;642;;;;;;;;;;;160;;;;;;;;;;;;53;32;;;;;;;;;;;4091;;;;;;;;107;;;;;;;;;;1854;;705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;
25;"Unterems";3;232784;231076;;;166958;164653;;;2098;2392;1646;2136;164860;162261;165312;162517;90236;73405;80616;63545;51408;47481;51078;44913;4288;15470;6536;20731;6427;12062;6772;14219;8440;11981;9506;12222;;;;;;;2218;2899;1656;1862;1339;1707;;;1083;1149;;;100;;;;;304;;;;;;;;648;;;;;;;;;;;284;;;;;;;;;;;;24;28;;;;;;;;;;;4857;;;;;;;;164;;;;;;;;;;1818;;735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;587;;;152;
26;"Friesland - Wilhelmshaven - Wittmund";3;189823;190546;;;133988;132735;;;2356;2630;1753;1939;131632;130105;132235;130796;52214;42211;50746;38728;58114;51851;47957;40610;3027;12283;5662;19204;6709;12055;6784;13572;7355;9794;9723;12009;;;;;;;2012;2452;1681;1911;1203;1570;;;1189;1277;;;87;;;;;112;;;;;;;;1071;;;;;;;;;;;82;;;;;;;;;;;;70;85;;;;;;;;;;;5468;;;;;;;;149;;;;;;;;;;2532;;1103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;
27;"Oldenburg - Ammerland";3;220409;215591;;;163533;158347;;;1771;1891;1416;1490;161762;156456;162117;156857;59514;55610;57058;44090;60530;49020;52844;42551;3965;13840;8210;22917;8793;14080;10522;15244;18549;21651;20169;24171;;;;;2670;;2853;4000;1093;1548;1050;1345;;;1308;1349;;;54;;;;;192;;;;;;707;;821;;;;;;;;;;;132;;;;;;;;;;;;62;53;;;;;;;;;5501;;6832;;;;;;;;100;;;;;;;;;;1147;;923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;
28;"Delmenhorst - Wesermarsch - Oldenburg-Land";3;227719;226440;;;162091;161584;;;2052;1970;1906;1821;160039;159614;160185;159763;63647;56273;62418;49810;62952;55374;54563;45895;5251;16163;8023;23109;7244;13751;8783;15906;9750;14446;13024;16731;;;;;2740;;2571;2879;1652;2346;1610;2009;;;1389;1519;;;97;;;;;179;;;;;238;1261;;1506;;;;;;;;;;;80;;;;;;;;;;;;56;49;;;;;;;;;5273;;6318;;;;;;;;183;;;;;;;;;;1292;;1070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171;
29;"Cuxhaven - Stade II";3;187676;189058;;;137151;135824;;;1488;1902;1184;1575;135663;133922;135967;134249;63432;51654;59701;46707;49404;50481;45535;40643;1872;10426;4923;17146;4906;10307;6241;11920;8326;8379;9591;11885;;;;;2123;;1967;1938;1306;1828;1270;1567;;;1074;1072;;;45;;;;;173;;;;;273;;;945;;;;;;;;;;;101;;;;;;;;;;;;52;28;;;;;;;;;4021;;4743;;;;;;;;140;;;;;;;;;;;;584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;847;;225;
30;"Stade I - Rotenburg II";3;194957;192956;;;145127;142114;;;1162;1690;947;1424;143965;140424;144180;140690;68541;62035;64469;51303;49111;46851;44598;37784;2505;9946;6023;20056;4877;9096;6020;10541;9099;9409;11209;14253;;;;;1985;;2131;2503;1457;2349;1302;2061;;;979;999;;;57;;;;;170;;;;;;;;837;;;;;;;;;;;119;;;307;;;;;;;;;17;43;;;;;;;;;5632;;6531;;;;;;;;108;;;;;;;;;;758;;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;431;;140;
31;"Mittelems";3;228051;226979;;;170438;169078;;;1578;1775;1218;1550;168860;167303;169220;167528;99700;91378;94919;79052;48899;43503;44059;39085;2672;13278;7031;23749;4542;8195;5104;9169;8390;9819;9160;11357;;;;;;;2465;2347;879;1130;811;1014;;;767;853;;;46;;;;;158;;;;;;;;642;;;;;;;;;;;114;;;;;;;;;;;;20;24;;;;;;;;;3778;;4303;;;;;;;;136;;;;;;;;;;;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;
